Date,Narration,Reference,ValueDt,Debit,Credit,Balance
26/12/23,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK-HDFC0000499-336039357466-MONTHLY AUTOPAY. C,0000336039357466,26/12/23,649,,659.9
,,,,,5412.07,6071.97
,,,,,23555.67,29627.64
,,,,3927.1,,25700.54
,,,,,20,25720.54
,,,,1000,,24720.54
,,,,24000,,720.54
,,,,29.5,,691.04
,,,,162.19,,528.85
,,,,,11,539.85
,,,,29.5,,510.35
,,,,29.5,,480.85
,,,,29.5,,451.35
,,,,29.5,,421.85
,,,,29.5,,392.35
,,,,29.5,,362.85
,,,,29.5,,333.35
,,,,29.5,,303.85
,,,,29.5,,274.35
,,,,29.5,,244.85
,,,,29.5,,215.35
,,,,29.5,,185.85
,,,,29.5,,156.35
,,,,29.5,,126.85
,,,,29.5,,97.35
,,,,29.5,,67.85
,,,,29.5,,38.35
,,,,29.5,,8.85
,,,,,49999,50007.85
,,,,1485,,48522.85
,,,,40000,,8522.85
,,,,1000,,7522.85
,,,,600,,6922.85
,,,,1000,,5922.85
,,,,480,,5442.85
,,,,1199,,4243.85
,,,,649,,3594.85
,,,,180,,3414.85
,,,,50,,3364.85
,,,,50,,3314.85
,,,,411.18,,2903.67
,,,,,20,2923.67
,,,,30,,2893.67
,,,,,5000,7893.67
,,,,2906,,4987.67
,,,,375,,4612.67
,,,,40,,4572.67
,,,,246,,4326.67
,,,,49,,4277.67
,,,,50,,4227.67
,,,,1861,,2366.67
,,,,,2000,4366.67
,,,,4043,,323.67
,,,,,5000,5323.67
,,,,1245.74,,4077.93
,,,,1010,,3067.93
,,,,20,,3047.93
,,,,,345,3392.93
,,,,350,,3042.93
,,,,359.76,,2683.17
,,,,,100,2783.17
,,,,101,,2682.17
,,,,50,,2632.17
,,,,1392.25,,1239.92
,,,,,145000,146239.92
,,,,95000,,51239.92
,,,,120,,51119.92
,,,,68,,51051.92
,,,,1977,,49074.92
,,,,237,,48837.92
,,,,,32928.43,81766.35
,,,,1188,,80578.35
,,,,24,,80554.35
,,,,131.58,,80422.77
,,,,350,,80072.77
,,,,5362,,74710.77
,,,,30,,74680.77
,,,,50000,,24680.77
,,,,1500,,23180.77
,,,,399,,22781.77
,,,,10000,,12781.77
,,,,60,,12721.77
,,,,20,,12701.77
,,,,20,,12681.77
,,,,120,,12561.77
,,,,461,,12100.77
,,,,5000,,7100.77
,,,,24,,7076.77
,,,,20,,7056.77
,,,,925,,6131.77
,,,,2350,,3781.77
,,,,20,,3761.77
,,,,72,,3689.77
,,,,781,,2908.77
,,,,20,,2888.77
,,,,2,,2886.77
,,,,38,,2848.77
,,,,70,,2778.77
,,,,,54000,56778.77
,,,,54000,,2778.77
,,,,1,,2777.77
,,,,20,,2757.77
,,,,20,,2737.77
,,,,80,,2657.77
,,,,,2,2659.77
,,,,,45283,47942.77
,,,,20000,,27942.77
,,,,,6,27948.77
,,,,51.44,,27897.33
,,,,,11000,38897.33
,,,,20,,38877.33
,,,,95,,38782.33
,,,,140,,38642.33
,,,,,1,38643.33
,,,,70,,38573.33
,,,,245,,38328.33
,,,,150,,38178.33
,,,,30,,38148.33
,,,,530,,37618.33
,,,,20,,37598.33
,,,,294,,37304.33
,,,,1500,,35804.33
,,,,300,,35504.33
,,,,50,,35454.33
,,,,20,,35434.33
,,,,425,,35009.33
,,,,20,,34989.33
,,,,1158,,33831.33
,,,,95,,33736.33
,,,,20,,33716.33
,,,,320,,33396.33
,,,,50,,33346.33
,,,,654,,32692.33
,,,,20,,32672.33
,,,,11600,,21072.33
,,,,4500,,16572.33
,,,,20,,16552.33
,,,,200,,16352.33
,,,,337,,16015.33
,,,,100,,15915.33
,,,,649,,15266.33
,,,,20,,15246.33
,,,,20,,15226.33
,,,,168.24,,15058.09
,,,,254.54,,14803.55
,,,,20,,14783.55
,,,,284,,14499.55
,,,,44,,14455.55
,,,,20,,14435.55
,,,,2300,,12135.55
,,,,685,,11450.55
,,,,,274,11724.55
,,,,,137,11861.55
,,,,32,,11829.55
,,,,30,,11799.55
,,,,430,,11369.55
,,,,305,,11064.55
,,,,20,,11044.55
,,,,20,,11024.55
,,,,,16444,27468.55
,,,,20,,27448.55
,,,,660,,26788.55
,,,,1500,,25288.55
,,,,20,,25268.55
,,,,214,,25054.55
,,,,38,,25016.55
,,,,11000,,14016.55
,,,,525,,13491.55
,,,,89,,13402.55
,,,,,55,13457.55
,,,,19,,13438.55
,,,,19,,13419.55
,,,,1024,,12395.55
,,,,1267,,11128.55
,,,,19,,11109.55
,,,,605,,10504.55
,,,,19,,10485.55
,,,,19,,10466.55
,,,,50,,10416.55
,,,,,50,10466.55
,,,,2000,,8466.55
,,,,19,,8447.55
,,,,30,,8417.55
,,,,466,,7951.55
,,,,1227,,6724.55
,,,,470.82,,6253.73
,,,,380,,5873.73
,,,,22,,5851.73
,,,,38,,5813.73
,,,,340,,5473.73
,,,,50,,5423.73
,,,,19,,5404.73
,,,,307,,5097.73
,,,,20,,5077.73
,,,,246,,4831.73
,,,,69,,4762.73
,,,,,1500,6262.73
,,,,,7.19,6269.92
,,,,550,,5719.92
,,,,235,,5484.92
,,,,230,,5254.92
,,,,20,,5234.92
,,,,247,,4987.92
,,,,48,,4939.92
,,,,,5000,9939.92
,,,,5000,,4939.92
,,,,60,,4879.92
,,,,30,,4849.92
,,,,2224,,2625.92
,,,,180,,2445.92
,,,,336.3,,2109.62
,,,,500,,1609.62
,,,,301.47,,1308.15
,,,,162.69,,1145.46
,,,,52.3,,1093.16
,,,,451,,642.16
,,,,20,,622.16
,,,,84,,538.16
,,,,165,,373.16
,,,,160,,213.16
,,,,,5000,5213.16
,,,,20,,5193.16
,,,,238,,4955.16
,,,,36,,4919.16
,,,,1500,,3419.16
,,,,1500,,1919.16
,,,,1500,,419.16
,,,,95,,324.16
,,,,99,,225.16
,,,,,3000,3225.16
,,,,2611.65,,613.51
,,,,177.17,,436.34
,,,,,1500,1936.34
,,,,,1500,3436.34
,,,,20,,3416.34
,,,,1099,,2317.34
,,,,270,,2047.34
,,,,45,,2002.34
,,,,20,,1982.34
,,,,,10000,11982.34
,,,,280,,11702.34
,,,,700,,11002.34
,,,,200,,10802.34
,,,,,33012,43814.34
,,,,219,,43595.34
,,,,350,,43245.34
,,,,940,,42305.34
,,,,1000,,41305.34
,,,,400,,40905.34
,,,,3600,,37305.34
,,,,15000,,22305.34
,,,,360,,21945.34
,,,,449,,21496.34
,,,,700,,20796.34
,,,,180,,20616.34
,,,,620,,19996.34
,,,,1077,,18919.34
,,,,340,,18579.34
,,,,340,,18239.34
,,,,718,,17521.34
,,,,2250,,15271.34
,,,,100,,15171.34
,,,,2530,,12641.34
,,,,250,,12391.34
,,,,30,,12361.34
,,,,1000,,11361.34
,,,,70,,11291.34
,,,,363.53,,10927.81
,,,,3044,,7883.81
,,,,620,,7263.81
,,,,1500,,5763.81
,,,,1400,,4363.81
,,,,649,,3714.81
,,,,1571,,2143.81
,,,,1500,,643.81
,,,,346,,297.81
,,,,40,,257.81
,,,,20,,237.81
,,,,100,,137.81
,,,,60,,77.81
,,,,20,,57.81
,,,,25,,32.81
,,,,100,,15171.34
,,,,2530,,12641.34
,,,,250,,12391.34
,,,,30,,12361.34
,,,,1000,,11361.34
,,,,70,,11291.34
,,,,363.53,,10927.81
,,,,3044,,7883.81
,,,,620,,7263.81
,,,,1500,,5763.81
,,,,1400,,4363.81
,,,,649,,3714.81
,,,,1571,,2143.81
,,,,1500,,643.81
,,,,346,,297.81
,,,,40,,257.81
,,,,20,,237.81
,,,,100,,137.81
,,,,60,,77.81
,,,,20,,57.81
,,,,25,,32.81
